Flight,Depart time,Arrival time,Journey duration,Price
"IndiGo
6E-2117/6E-5265",10:55,16:45,5h 50m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['4,736', '5,318', '5,393', '']}"
"IndiGo
6E-2216/6E-5232",05:10,09:50,4h 40m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['4,763', '5,345', '5,393', '']}"
"IndiGo
6E-2187/6E-5285",15:45,20:45,5h 00m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['4,763', '5,345', '5,393', '']}"
"IndiGo
6E-2042/6E-5226",18:40,01:05,6h 25m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,275', '5,857', '5,905', '']}"
"IndiGo
6E-2204/6E-5226",16:50,01:05,8h 15m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,275', '5,857', '5,905', '']}"
"IndiGo
6E-2766",03:45,05:40,1h 55m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,533', '5,927', '6,115', '']}"
"IndiGo
6E-395",21:00,23:15,2h 15m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,533', '5,927', '6,115', '']}"
"AirIndia Express
I5-743/I5-762",05:00,11:30,6h 30m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['5,650', '6,232']}"
"Multiple Airline
IX-2789/I5-670",10:50,19:55,9h 05m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['5,650', '6,232']}"
"AirIndia Express
I5-743/I5-670",05:00,19:55,14h 55m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['5,650', '6,232']}"
"Vistara
UK-979/UK-956",13:30,19:00,5h 30m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"Vistara
UK-929/UK-918",21:25,06:15,8h 50m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"Vistara
UK-969/UK-918",18:00,06:15,12h 15m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"Vistara
UK-959/UK-956",06:30,19:00,12h 30m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"Vistara
UK-929/UK-936",21:25,09:55,12h 30m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"Vistara
UK-969/UK-936",18:00,09:55,15h 55m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"Vistara
UK-979/UK-918",13:30,06:15,16h 45m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"Vistara
UK-979/UK-936",13:30,09:55,20h 25m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"Vistara
UK-929/UK-956",21:25,19:00,21h 35m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['5,652', '6,234', '6,626', '']}"
"IndiGo
6E-2013/6E-912",23:00,04:25,5h 25m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,715', '6,297', '6,920', '']}"
"SpiceJet
SG-8269",20:15,22:30,2h 15m,"{'Offer': ['Spice Saver', 'Spice Flex', 'Best Value', ''], 'Price': ['5,769', '6,293', '6,351', '']}"
"AirIndia Express
IX-2784",18:55,22:50,3h 55m,"{'Offer': ['Xpress Value', 'Best Value', 'Xpress Biz'], 'Price': ['5,799', '6,381', '20,020']}"
"Akasa Air
QP-1411",10:50,13:05,2h 15m,"{'Offer': ['Saver Fare', 'Flexi Fare', 'Best Value'], 'Price': ['5,845', '6,244', '6,427']}"
"Akasa Air
QP-1128",16:00,18:20,2h 20m,"{'Offer': ['Saver Fare', 'Flexi Fare', 'Best Value'], 'Price': ['5,845', '6,244', '6,427']}"
"IndiGo
6E-864",17:15,19:25,2h 10m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,848', '6,242', '6,430', '']}"
"IndiGo
6E-354",19:15,21:25,2h 10m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,848', '6,242', '6,430', '']}"
"IndiGo
6E-6114",22:15,00:25,2h 10m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,848', '6,242', '6,430', '']}"
"IndiGo
6E-519",23:30,01:40,2h 10m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,848', '6,242', '6,430', '']}"
"IndiGo
6E-6047",11:15,13:35,2h 20m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,848', '6,242', '6,430', '']}"
"IndiGo
6E-6016",20:00,22:20,2h 20m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,848', '6,242', '6,430', '']}"
"IndiGo
6E-5603/6E-5383",16:45,22:20,5h 35m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,848', '6,430', '6,478', '']}"
"IndiGo
6E-2013/6E-5182",23:00,05:25,6h 25m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,875', '6,457', '7,096', '']}"
"IndiGo
6E-5119/6E-2046",04:45,08:50,4h 05m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,894', '6,476', '7,424', '']}"
"IndiGo
6E-5119/6E-5125",04:45,09:50,5h 05m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,894', '6,476', '7,424', '']}"
"IndiGo
6E-6261/6E-533",06:10,11:55,5h 45m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,894', '6,476', '7,424', '']}"
"IndiGo
6E-5119/6E-533",04:45,11:55,7h 10m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['5,894', '6,476', '7,424', '']}"
"IndiGo
6E-6318",16:15,18:20,2h 05m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['5,953', '6,478', '6,535', '']}"
"Akasa Air
QP-1719",08:40,10:45,2h 05m,"{'Offer': ['Saver Fare', 'Flexi Fare', 'Best Value'], 'Price': ['6,027', '6,428', '6,609']}"
"Air India
AI-860",02:15,04:30,2h 15m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,028', '6,610', '6,658', '']}"
"Air India
AI-441",17:15,20:05,2h 50m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,028', '6,610', '6,658', '']}"
"IndiGo
6E-2237",06:00,07:55,1h 55m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,058', '6,452', '6,640', '']}"
"IndiGo
6E-6814",07:00,08:55,1h 55m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,058', '6,452', '6,640', '']}"
"IndiGo
6E-2716",02:00,04:00,2h 00m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,058', '6,452', '6,640', '']}"
"IndiGo
6E-2676",14:10,16:10,2h 00m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,058', '6,452', '6,640', '']}"
"IndiGo
6E-6107",09:00,11:05,2h 05m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,058', '6,452', '6,640', '']}"
"IndiGo
6E-2169",08:00,10:10,2h 10m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,058', '6,452', '6,640', '']}"
"IndiGo
6E-6328",10:00,12:15,2h 15m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,058', '6,452', '6,640', '']}"
"Air India
AI-805",20:00,22:25,2h 25m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,133', '6,715', '6,868', '']}"
"IndiGo
6E-2327",18:15,20:20,2h 05m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,268', '6,793', '6,850', '']}"
"IndiGo
6E-449",05:00,07:10,2h 10m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['6,268', '6,793', '6,850', '']}"
"SpiceJet
SG-709",19:55,22:00,2h 05m,"{'Offer': ['Spice Saver', 'Spice Flex', 'Best Value', ''], 'Price': ['6,399', '6,923', '6,981', '']}"
"SpiceJet
SG-8157",06:10,08:20,2h 10m,"{'Offer': ['Spice Saver', 'Spice Flex', 'Best Value', ''], 'Price': ['6,399', '6,923', '6,981', '']}"
"IndiGo
6E-2153/6E-912",20:55,04:25,7h 30m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,411', '6,993', '7,185', '']}"
"IndiGo
6E-2153/6E-5272",20:55,01:35,4h 40m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,516', '7,098', '7,185', '']}"
"IndiGo
6E-2096/6E-5272",19:10,01:35,6h 25m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,516', '7,098', '7,185', '']}"
"Air India
AI-624",19:10,21:20,2h 10m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,637', '7,219', '7,267', '']}"
"Air India
AI-856",14:45,17:00,2h 15m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,637', '7,219', '7,267', '']}"
"Air India
AI-605",21:20,23:35,2h 15m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,637', '7,219', '7,267', '']}"
"Air India
AI-814",22:30,00:45,2h 15m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,637', '7,219', '7,267', '']}"
"Air India
AI-665",08:00,10:20,2h 20m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,637', '7,219', '7,267', '']}"
"Air India
AI-678",09:00,11:20,2h 20m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,637', '7,219', '7,267', '']}"
"IndiGo
6E-2076/6E-533",07:20,11:55,4h 35m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,651', '7,233', '7,334', '']}"
"IndiGo
6E-2096/6E-5148",19:10,00:05,4h 55m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,651', '7,233', '7,334', '']}"
"IndiGo
6E-129/6E-803",13:25,19:40,6h 15m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,651', '7,233', '7,334', '']}"
"Air India
AI-865",10:45,13:05,2h 20m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,742', '7,324', '7,477', '']}"
"IndiGo
6E-2331/6E-803",12:00,19:40,7h 40m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,790', '7,372', '7,424', '']}"
"IndiGo
6E-129/6E-5139",13:25,18:25,5h 00m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,812', '7,394', '7,510', '']}"
"Air India
AI-817/AI-614",05:30,09:30,4h 00m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
